Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2018-11-01,2018,Thiruvananthapuram,West Indies,2.0,3.0,33.0,29.0,6.0,0.0,113.79,not out,1
2019-01-12,2019,Sydney,Australia,2.0,3.0,3.0,8.0,0.0,0.0,37.5,caught,0
2019-01-15,2019,Adelaide,Australia,2.0,3.0,104.0,112.0,5.0,2.0,92.85,caught,0
2019-01-18,2019,Melbourne,Australia,2.0,3.0,46.0,62.0,3.0,0.0,74.19,caught,0
2019-01-23,2019,Napier,New Zealand,2.0,3.0,45.0,59.0,3.0,0.0,76.27,caught,0
2019-01-26,2019,Mount Maunganui,New Zealand,1.0,3.0,43.0,45.0,5.0,0.0,95.55,caught,0
2019-01-28,2019,Mount Maunganui,New Zealand,2.0,3.0,60.0,74.0,6.0,1.0,81.08,caught,0
2019-03-02,2019,Hyderabad,Australia,2.0,3.0,44.0,45.0,6.0,1.0,97.77,lbw,0
2019-03-05,2019,Nagpur,Australia,1.0,3.0,116.0,120.0,10.0,0.0,96.66,caught,0
2019-03-08,2019,Ranchi,Australia,2.0,3.0,123.0,95.0,16.0,1.0,129.47,bowled,0
2019-03-10,2019,Mohali,Australia,1.0,4.0,7.0,6.0,1.0,0.0,116.66,caught,0
2019-03-13,2019,Delhi,Australia,2.0,3.0,20.0,22.0,2.0,0.0,90.9,caught,0
2019-06-05,2019,Southampton,South Africa,2.0,3.0,18.0,34.0,1.0,0.0,52.94,caught,0
2019-06-09,2019,The Oval,Australia,1.0,3.0,82.0,77.0,4.0,2.0,106.49,caught,0
2019-06-16,2019,Manchester,Pakistan,1.0,3.0,77.0,65.0,7.0,0.0,118.46,caught,0
2019-06-22,2019,Southampton,Afghanistan,1.0,3.0,67.0,63.0,5.0,0.0,106.34,caught,0
2019-06-27,2019,Manchester,West Indies,1.0,3.0,72.0,82.0,8.0,0.0,87.8,caught,0
2019-06-30,2019,Birmingham,England,2.0,3.0,66.0,76.0,7.0,0.0,86.84,caught,0
2019-07-02,2019,Birmingham,Bangladesh,1.0,3.0,26.0,27.0,3.0,0.0,96.29,caught,0
2019-07-06,2019,Leeds,Sri Lanka,2.0,3.0,34.0,41.0,3.0,0.0,82.92,not out,1
2019-07-09,2019,Manchester,New Zealand,2.0,3.0,1.0,6.0,0.0,0.0,16.66,lbw,0
2019-08-08,2019,Providence,West Indies,,,,,,,,-,0
2019-08-11,2019,Port of Spain,West Indies,1.0,3.0,120.0,125.0,14.0,1.0,96.0,caught,0
2019-08-14,2019,Port of Spain,West Indies,2.0,3.0,114.0,99.0,14.0,0.0,115.15,not out,1
2019-12-15,2019,Chennai,West Indies,1.0,3.0,4.0,4.0,1.0,0.0,100.0,bowled,0
2019-12-18,2019,Visakhapatnam,West Indies,1.0,3.0,0.0,1.0,0.0,0.0,0.0,caught,0
2019-12-22,2019,Cuttack,West Indies,2.0,3.0,85.0,81.0,9.0,0.0,104.93,bowled,0
2020-01-14,2020,Wankhede,Australia,1.0,4.0,16.0,14.0,0.0,1.0,114.28,caught,0
2020-01-17,2020,Rajkot,Australia,1.0,3.0,78.0,76.0,6.0,0.0,102.63,caught,0
2020-01-19,2020,Bengaluru,Australia,2.0,3.0,89.0,91.0,8.0,0.0,97.8,bowled,0
